Candidate,dt,vote_intention
Capitão Wagner,2024-08-03,0.2139699885119461
Evandro Leitão,2024-08-03,0.295517881976377
José Sarto,2024-08-03,0.07800975528286651
André Fernandes,2024-08-04,0.34836386847124756
Capitão Wagner,2024-08-04,0.20006452748455023
Evandro Leitão,2024-08-04,0.386161239355611
José Sarto,2024-08-04,0.06541036468859118
André Fernandes,2024-08-05,0.3984612537913088
Capitão Wagner,2024-08-05,0.1940433255329905
Evandro Leitão,2024-08-05,0.3358149129712208
José Sarto,2024-08-05,0.0716805077044799
André Fernandes,2024-08-06,0.38384119165961345
Capitão Wagner,2024-08-06,0.18754056869523442
Evandro Leitão,2024-08-06,0.3600994356588881
José Sarto,2024-08-06,0.06851880398626409
André Fernandes,2024-08-07,0.41008445954188033
Capitão Wagner,2024-08-07,0.15029834588731217
Evandro Leitão,2024-08-07,0.39498137298998803
José Sarto,2024-08-07,0.04463582158081946
André Fernandes,2024-08-08,0.38814928034761376
Capitão Wagner,2024-08-08,0.19209780432840387
Evandro Leitão,2024-08-08,0.33973204592467166
José Sarto,2024-08-08,0.08002086939931077
André Fernandes,2024-08-09,0.3798537405020216
Capitão Wagner,2024-08-09,0.20721622583107782
Evandro Leitão,2024-08-09,0.34952936836503984
José Sarto,2024-08-09,0.0634006653018608
André Fernandes,2024-08-10,0.36616743901352444
Capitão Wagner,2024-08-10,0.14585265073601433
Evandro Leitão,2024-08-10,0.3966331345930973
José Sarto,2024-08-10,0.0913467756573639
André Fernandes,2024-08-11,0.38523233055090406
Capitão Wagner,2024-08-11,0.14590590652952223
Evandro Leitão,2024-08-11,0.39693032425028607
José Sarto,2024-08-11,0.07193143866928767
André Fernandes,2024-08-12,0.34653954361972233
Capitão Wagner,2024-08-12,0.17463129926563553
Evandro Leitão,2024-08-12,0.35526878141921525
José Sarto,2024-08-12,0.12356037569542686
André Fernandes,2024-08-13,0.3802261128523947
Capitão Wagner,2024-08-13,0.1628580698641624
Evandro Leitão,2024-08-13,0.3945227982179954
José Sarto,2024-08-13,0.06239301906544751
André Fernandes,2024-08-14,0.3657779914958554
Capitão Wagner,2024-08-14,0.1957346462763073
Evandro Leitão,2024-08-14,0.3380585610820696
José Sarto,2024-08-14,0.10042880114576772
André Fernandes,2024-08-15,0.42134977799974127
Capitão Wagner,2024-08-15,0.1968039734074514
Evandro Leitão,2024-08-15,0.3093594839295354
José Sarto,2024-08-15,0.072486764663272
André Fernandes,2024-08-16,0.3630800081172113
Capitão Wagner,2024-08-16,0.22315147664152227
Evandro Leitão,2024-08-16,0.32751533569253805
José Sarto,2024-08-16,0.08625317954872844
André Fernandes,2024-08-17,0.3818443625658397
Capitão Wagner,2024-08-17,0.15271070400471531
Evandro Leitão,2024-08-17,0.30772147369705577
José Sarto,2024-08-17,0.15772345973238927
André Fernandes,2024-08-18,0.41305787684395845
Capitão Wagner,2024-08-18,0.21080428414351307
Evandro Leitão,2024-08-18,0.3209088737356944
José Sarto,2024-08-18,0.055228965276834054
André Fernandes,2024-08-19,0.4308241307390741
Capitão Wagner,2024-08-19,0.1661998244064356
Evandro Leitão,2024-08-19,0.3312353403208642
José Sarto,2024-08-19,0.07174070453362599
André Fernandes,2024-08-20,0.32194990430573817
Capitão Wagner,2024-08-20,0.2576874559494717
Evandro Leitão,2024-08-20,0.34893375831863055
José Sarto,2024-08-20,0.07142888142615962
André Fernandes,2024-08-21,0.26344406823937305
Capitão Wagner,2024-08-21,0.28677102122622855
Evandro Leitão,2024-08-21,0.34920762991712045
José Sarto,2024-08-21,0.100577280617278
André Fernandes,2024-08-22,0.31008345132666937
Capitão Wagner,2024-08-22,0.26734994422775654
Evandro Leitão,2024-08-22,0.32757633803372743
José Sarto,2024-08-22,0.09499026641184669
André Fernandes,2024-08-23,0.2680960612676182
Capitão Wagner,2024-08-23,0.22372924940898323
Evandro Leitão,2024-08-23,0.38669196807049133
José Sarto,2024-08-23,0.12148272125290727
André Fernandes,2024-08-24,0.29098406319882747
Capitão Wagner,2024-08-24,0.2562853549930241
Evandro Leitão,2024-08-24,0.3511390537193758
José Sarto,2024-08-24,0.10159152808877273
André Fernandes,2024-08-25,0.2950770297590718
Capitão Wagner,2024-08-25,0.23319030469640425
Evandro Leitão,2024-08-25,0.40770559378427074
José Sarto,2024-08-25,0.06402707176025327
André Fernandes,2024-08-26,0.3127193267040399
Capitão Wagner,2024-08-26,0.22125856154552684
Evandro Leitão,2024-08-26,0.36495852892715847
José Sarto,2024-08-26,0.10106358282327484
André Fernandes,2024-08-27,0.23037271028363668
Capitão Wagner,2024-08-27,0.27871897322200295
Evandro Leitão,2024-08-27,0.37561107986573256
José Sarto,2024-08-27,0.11529723662862781
André Fernandes,2024-08-28,0.36616717059377835
Capitão Wagner,2024-08-28,0.23400304686812295
Evandro Leitão,2024-08-28,0.2931101777884477
José Sarto,2024-08-28,0.10671960474965096
André Fernandes,2024-08-29,0.24638353562452822
Capitão Wagner,2024-08-29,0.2801580721281455
Evandro Leitão,2024-08-29,0.3875041999051395
José Sarto,2024-08-29,0.0859541923421868
André Fernandes,2024-08-30,0.2968919160244603
Capitão Wagner,2024-08-30,0.26941396533298345
Evandro Leitão,2024-08-30,0.33989737062721104
José Sarto,2024-08-30,0.09379674801534518
André Fernandes,2024-08-31,0.23043776393989268
Capitão Wagner,2024-08-31,0.22257229133265177
Evandro Leitão,2024-08-31,0.3942100225531478
José Sarto,2024-08-31,0.15277992217430775
André Fernandes,2024-09-01,0.26321469419448534
Capitão Wagner,2024-09-01,0.26791332918454447
Evandro Leitão,2024-09-01,0.3729441431349049
José Sarto,2024-09-01,0.09592783348606526
André Fernandes,2024-09-02,0.20345108228612027
Capitão Wagner,2024-09-02,0.24982118552636462
Evandro Leitão,2024-09-02,0.4184479628616799
José Sarto,2024-09-02,0.12827976932583524
André Fernandes,2024-09-03,0.3092486260088925
Capitão Wagner,2024-09-03,0.19291318038650132
Evandro Leitão,2024-09-03,0.4039815477606729
José Sarto,2024-09-03,0.09385664584393327
André Fernandes,2024-09-04,0.2639264960025649
Capitão Wagner,2024-09-04,0.26255061090815957
Evandro Leitão,2024-09-04,0.37988539983801795
José Sarto,2024-09-04,0.09363749325125756
André Fernandes,2024-09-05,0.24772714001943003
Capitão Wagner,2024-09-05,0.24202541274476466
Evandro Leitão,2024-09-05,0.388955414162515
José Sarto,2024-09-05,0.12129203307329028
André Fernandes,2024-09-06,0.21256449341615472
Capitão Wagner,2024-09-06,0.243205915661368
Evandro Leitão,2024-09-06,0.39950310553995644
José Sarto,2024-09-06,0.14472648538252092
André Fernandes,2024-09-07,0.2573780627627055
Capitão Wagner,2024-09-07,0.19571800657663346
Evandro Leitão,2024-09-07,0.354516487698324
José Sarto,2024-09-07,0.1923874429623371
André Fernandes,2024-09-08,0.31396858503687275
Capitão Wagner,2024-09-08,0.21353296094985746
Evandro Leitão,2024-09-08,0.3609956175723665
José Sarto,2024-09-08,0.11150283644090328
André Fernandes,2024-09-09,0.29259879186543697
Capitão Wagner,2024-09-09,0.19658148511996126
Evandro Leitão,2024-09-09,0.3875301108492735
José Sarto,2024-09-09,0.12328961216532827
André Fernandes,2024-09-10,0.23570589647232404
Capitão Wagner,2024-09-10,0.23853866455050504
Evandro Leitão,2024-09-10,0.4146371730648414
José Sarto,2024-09-10,0.1111182659123295
André Fernandes,2024-09-11,0.2784686386359004
Capitão Wagner,2024-09-11,0.2667666626500744
Evandro Leitão,2024-09-11,0.3728486947951024
José Sarto,2024-09-11,0.0819160039189228
André Fernandes,2024-09-12,0.2359387784130341
Capitão Wagner,2024-09-12,0.2185613417175843
Evandro Leitão,2024-09-12,0.4115106443774888
José Sarto,2024-09-12,0.13398923549189284
André Fernandes,2024-09-13,0.2168799116595689
Capitão Wagner,2024-09-13,0.23984733017651005
Evandro Leitão,2024-09-13,0.4193020370402344
José Sarto,2024-09-13,0.12397072112368664
André Fernandes,2024-09-14,0.2465340244924979
Capitão Wagner,2024-09-14,0.2468110956683684
Evandro Leitão,2024-09-14,0.43924725142090637
José Sarto,2024-09-14,0.0674076284182274
André Fernandes,2024-09-15,0.24735182560677554
Capitão Wagner,2024-09-15,0.19009155344130677
Evandro Leitão,2024-09-15,0.40084127589311097
José Sarto,2024-09-15,0.1617153450588067
André Fernandes,2024-09-16,0.24706752049836728
Capitão Wagner,2024-09-16,0.15368448660221468
Evandro Leitão,2024-09-16,0.4495681321679016
José Sarto,2024-09-16,0.14967986073151648
André Fernandes,2024-09-17,0.24433093945644085
Capitão Wagner,2024-09-17,0.15513302271833712
Evandro Leitão,2024-09-17,0.465082099831453
José Sarto,2024-09-17,0.135453937993769
André Fernandes,2024-09-18,0.2632629197817822
Capitão Wagner,2024-09-18,0.11896054846344617
Evandro Leitão,2024-09-18,0.44336518858089685
José Sarto,2024-09-18,0.1744113431738748
André Fernandes,2024-09-19,0.2174511502343151
Capitão Wagner,2024-09-19,0.156370167470541
Evandro Leitão,2024-09-19,0.4086622962748483
José Sarto,2024-09-19,0.21751638602029563
André Fernandes,2024-09-20,0.29169541626556683
Capitão Wagner,2024-09-20,0.13341022944617298
Evandro Leitão,2024-09-20,0.42822918900486
José Sarto,2024-09-20,0.1466651652834002
André Fernandes,2024-09-21,0.30065815516758826
Capitão Wagner,2024-09-21,0.10450531944569699
Evandro Leitão,2024-09-21,0.42232013743789815
José Sarto,2024-09-21,0.17251638794881657
André Fernandes,2024-09-22,0.31500901079446675
Capitão Wagner,2024-09-22,0.11472581591606094
Evandro Leitão,2024-09-22,0.4306959789452507
José Sarto,2024-09-22,0.13956919434422163
André Fernandes,2024-09-23,0.2499762355038635
Capitão Wagner,2024-09-23,0.13526880402862984
Evandro Leitão,2024-09-23,0.41933231729626474
José Sarto,2024-09-23,0.19542264317124192
André Fernandes,2024-09-24,0.25976714446303817
Capitão Wagner,2024-09-24,0.14448437115837337
Evandro Leitão,2024-09-24,0.42542467944866746
José Sarto,2024-09-24,0.17032380492992094
André Fernandes,2024-09-25,0.3094175122575504
Capitão Wagner,2024-09-25,0.1540728796322241
Evandro Leitão,2024-09-25,0.38196669740766953
José Sarto,2024-09-25,0.15454291070255605
André Fernandes,2024-09-26,0.29350754635143284
Capitão Wagner,2024-09-26,0.11996624561846822
Evandro Leitão,2024-09-26,0.41643977397768983
José Sarto,2024-09-26,0.17008643405240903
André Fernandes,2024-09-27,0.303811238660487
Capitão Wagner,2024-09-27,0.15570605946924415
Evandro Leitão,2024-09-27,0.39118338236789413
José Sarto,2024-09-27,0.14929931950237474
André Fernandes,2024-09-28,0.2838032445530483
Capitão Wagner,2024-09-28,0.1421579410887307
Evandro Leitão,2024-09-28,0.4114430986487446
José Sarto,2024-09-28,0.16259571570947645
André Fernandes,2024-09-29,0.30559926183659597
Capitão Wagner,2024-09-29,0.13785950662022195
Evandro Leitão,2024-09-29,0.4397542198278731
José Sarto,2024-09-29,0.11678701171530903
André Fernandes,2024-09-30,0.32774308953650083
Capitão Wagner,2024-09-30,0.11226270522501529
Evandro Leitão,2024-09-30,0.4005214925165469
José Sarto,2024-09-30,0.15947271272193692
André Fernandes,2024-10-01,0.3125624999940467
Capitão Wagner,2024-10-01,0.18385836476855313
Evandro Leitão,2024-10-01,0.40856521103024424
José Sarto,2024-10-01,0.09501392420715585
André Fernandes,2024-10-02,0.3165201216677759
Capitão Wagner,2024-10-02,0.13151113358746783
Evandro Leitão,2024-10-02,0.41383335198504667
José Sarto,2024-10-02,0.13813539275970962
André Fernandes,2024-10-03,0.33672719593440514
Capitão Wagner,2024-10-03,0.08476750881836811
Evandro Leitão,2024-10-03,0.4022339205892881
José Sarto,2024-10-03,0.17627137465793868
André Fernandes,2024-10-04,0.30393479914518523
Capitão Wagner,2024-10-04,0.12475792111119326
Evandro Leitão,2024-10-04,0.4362113251292031
José Sarto,2024-10-04,0.13509595461441842
André Fernandes,2024-10-05,0.336522612952877
Capitão Wagner,2024-10-05,0.15570311685801297
Evandro Leitão,2024-10-05,0.41345421262214666
José Sarto,2024-10-05,0.09432005756696332
