Candidate,dt,vote_intention
Capitão Wagner,2024-08-03,0.22541535104276242
Evandro Leitão,2024-08-03,0.2971678776094392
José Sarto,2024-08-03,0.06115369383278009
André Fernandes,2024-08-04,0.3894477947325615
Capitão Wagner,2024-08-04,0.23884172631517114
Evandro Leitão,2024-08-04,0.32256881089988615
José Sarto,2024-08-04,0.049141668052381224
André Fernandes,2024-08-05,0.39386294851652504
Capitão Wagner,2024-08-05,0.1531709866975537
Evandro Leitão,2024-08-05,0.35773170381962605
José Sarto,2024-08-05,0.0952343609662952
André Fernandes,2024-08-06,0.3792803675565461
Capitão Wagner,2024-08-06,0.17396626527452946
Evandro Leitão,2024-08-06,0.3793840822850036
José Sarto,2024-08-06,0.06736928488392081
André Fernandes,2024-08-07,0.3915383070394738
Capitão Wagner,2024-08-07,0.1526296146851489
Evandro Leitão,2024-08-07,0.39088060140707487
José Sarto,2024-08-07,0.06495147686830245
André Fernandes,2024-08-08,0.37505292996746087
Capitão Wagner,2024-08-08,0.16163128681429947
Evandro Leitão,2024-08-08,0.3974793525074848
José Sarto,2024-08-08,0.06583643071075489
André Fernandes,2024-08-09,0.37985129073854895
Capitão Wagner,2024-08-09,0.15650152978905146
Evandro Leitão,2024-08-09,0.3720865998442093
José Sarto,2024-08-09,0.0915605796281903
André Fernandes,2024-08-10,0.3806448820651342
Capitão Wagner,2024-08-10,0.14463762908783756
Evandro Leitão,2024-08-10,0.41697810880052055
José Sarto,2024-08-10,0.05773938004650771
André Fernandes,2024-08-11,0.37989718112619597
Capitão Wagner,2024-08-11,0.16957482310595653
Evandro Leitão,2024-08-11,0.37036461333645077
José Sarto,2024-08-11,0.08016338243139672
André Fernandes,2024-08-12,0.34852559280167583
Capitão Wagner,2024-08-12,0.18083180500373613
Evandro Leitão,2024-08-12,0.3371157269982611
José Sarto,2024-08-12,0.13352687519632694
André Fernandes,2024-08-13,0.36455172576378025
Capitão Wagner,2024-08-13,0.21684968931359924
Evandro Leitão,2024-08-13,0.31024607718483077
José Sarto,2024-08-13,0.10835250773778966
André Fernandes,2024-08-14,0.3768932883632485
Capitão Wagner,2024-08-14,0.16988397021566853
Evandro Leitão,2024-08-14,0.3346844164284399
José Sarto,2024-08-14,0.11853832499264312
André Fernandes,2024-08-15,0.3891216873568081
Capitão Wagner,2024-08-15,0.19167295980271953
Evandro Leitão,2024-08-15,0.3465205790122227
José Sarto,2024-08-15,0.07268477382824964
André Fernandes,2024-08-16,0.40632946701594735
Capitão Wagner,2024-08-16,0.1319760719822043
Evandro Leitão,2024-08-16,0.3706266829872624
José Sarto,2024-08-16,0.09106777801458592
André Fernandes,2024-08-17,0.3775502839603059
Capitão Wagner,2024-08-17,0.19233039561851317
Evandro Leitão,2024-08-17,0.33747021905545005
José Sarto,2024-08-17,0.09264910136573092
André Fernandes,2024-08-18,0.4095197292588111
Capitão Wagner,2024-08-18,0.18873664299385967
Evandro Leitão,2024-08-18,0.32907582267330937
José Sarto,2024-08-18,0.07266780507401985
André Fernandes,2024-08-19,0.39745813749938286
Capitão Wagner,2024-08-19,0.20667762479467183
Evandro Leitão,2024-08-19,0.3361694971485193
José Sarto,2024-08-19,0.059694740557426
André Fernandes,2024-08-20,0.3114871941095668
Capitão Wagner,2024-08-20,0.19894509333548266
Evandro Leitão,2024-08-20,0.39284616691104135
José Sarto,2024-08-20,0.0967215456439091
André Fernandes,2024-08-21,0.2899862510216442
Capitão Wagner,2024-08-21,0.24482253782732433
Evandro Leitão,2024-08-21,0.3564055111948949
José Sarto,2024-08-21,0.10878569995613656
André Fernandes,2024-08-22,0.28610790197837366
Capitão Wagner,2024-08-22,0.20427013518160253
Evandro Leitão,2024-08-22,0.37405590118809806
José Sarto,2024-08-22,0.1355660616519257
André Fernandes,2024-08-23,0.27472585976246633
Capitão Wagner,2024-08-23,0.2556475385901387
Evandro Leitão,2024-08-23,0.37574087030968123
José Sarto,2024-08-23,0.09388573133771369
André Fernandes,2024-08-24,0.2706021551026015
Capitão Wagner,2024-08-24,0.22982439627811976
Evandro Leitão,2024-08-24,0.3819483773115098
José Sarto,2024-08-24,0.11762507130776896
André Fernandes,2024-08-25,0.2746218043661586
Capitão Wagner,2024-08-25,0.26602032700952893
Evandro Leitão,2024-08-25,0.363174541374248
José Sarto,2024-08-25,0.0961833272500645
André Fernandes,2024-08-26,0.31970167142124256
Capitão Wagner,2024-08-26,0.2533960261999712
Evandro Leitão,2024-08-26,0.33114758253615045
José Sarto,2024-08-26,0.09575471984263571
André Fernandes,2024-08-27,0.29522302137977063
Capitão Wagner,2024-08-27,0.20983955220968764
Evandro Leitão,2024-08-27,0.36687777010889316
José Sarto,2024-08-27,0.12805965630164853
André Fernandes,2024-08-28,0.28467806833875725
Capitão Wagner,2024-08-28,0.2308961734114922
Evandro Leitão,2024-08-28,0.39353391333250937
José Sarto,2024-08-28,0.09089184491724113
André Fernandes,2024-08-29,0.25538034713164126
Capitão Wagner,2024-08-29,0.24044501851888328
Evandro Leitão,2024-08-29,0.40446493358612096
José Sarto,2024-08-29,0.09970970076335448
André Fernandes,2024-08-30,0.2925666375889606
Capitão Wagner,2024-08-30,0.28583253980610407
Evandro Leitão,2024-08-30,0.34479126474230243
José Sarto,2024-08-30,0.07680955786263292
André Fernandes,2024-08-31,0.28694217452079973
Capitão Wagner,2024-08-31,0.1913043305516498
Evandro Leitão,2024-08-31,0.39148064494436186
José Sarto,2024-08-31,0.1302728499831886
André Fernandes,2024-09-01,0.25332567146672347
Capitão Wagner,2024-09-01,0.25291464911495437
Evandro Leitão,2024-09-01,0.39753851639638926
José Sarto,2024-09-01,0.0962211630219329
André Fernandes,2024-09-02,0.3035299657900233
Capitão Wagner,2024-09-02,0.21657000977781382
Evandro Leitão,2024-09-02,0.3570458334545203
José Sarto,2024-09-02,0.12285419097764257
André Fernandes,2024-09-03,0.3033994129572303
Capitão Wagner,2024-09-03,0.24632192204021747
Evandro Leitão,2024-09-03,0.3490494615143577
José Sarto,2024-09-03,0.10122920348819453
André Fernandes,2024-09-04,0.2613010868898418
Capitão Wagner,2024-09-04,0.2274664455008737
Evandro Leitão,2024-09-04,0.3984383365456844
José Sarto,2024-09-04,0.1127941310636001
André Fernandes,2024-09-05,0.24588107423713357
Capitão Wagner,2024-09-05,0.2340861101198902
Evandro Leitão,2024-09-05,0.39972070694991424
José Sarto,2024-09-05,0.12031210869306201
André Fernandes,2024-09-06,0.2362467774527684
Capitão Wagner,2024-09-06,0.1826928647578011
Evandro Leitão,2024-09-06,0.4315235931760849
José Sarto,2024-09-06,0.14953676461334559
André Fernandes,2024-09-07,0.28984266184330665
Capitão Wagner,2024-09-07,0.19512045586744872
Evandro Leitão,2024-09-07,0.3876399965074965
José Sarto,2024-09-07,0.12739688578174815
André Fernandes,2024-09-08,0.2731366974856608
Capitão Wagner,2024-09-08,0.24419501270098687
Evandro Leitão,2024-09-08,0.3552023011820257
José Sarto,2024-09-08,0.1274659886313266
André Fernandes,2024-09-09,0.22354460252059197
Capitão Wagner,2024-09-09,0.2183441770754535
Evandro Leitão,2024-09-09,0.41241440820827197
José Sarto,2024-09-09,0.1456968121956826
André Fernandes,2024-09-10,0.19607703228031406
Capitão Wagner,2024-09-10,0.2403655779242868
Evandro Leitão,2024-09-10,0.4275317976234154
José Sarto,2024-09-10,0.13602559217198376
André Fernandes,2024-09-11,0.21634938563316064
Capitão Wagner,2024-09-11,0.2475444872916162
Evandro Leitão,2024-09-11,0.43735230826042537
José Sarto,2024-09-11,0.09875381881479779
André Fernandes,2024-09-12,0.2678791214710395
Capitão Wagner,2024-09-12,0.23789046718988102
Evandro Leitão,2024-09-12,0.39257262356076716
José Sarto,2024-09-12,0.10165778777831233
André Fernandes,2024-09-13,0.2522635850597398
Capitão Wagner,2024-09-13,0.22361708816638992
Evandro Leitão,2024-09-13,0.41477393220938497
José Sarto,2024-09-13,0.10934539456448533
André Fernandes,2024-09-14,0.19923334035755194
Capitão Wagner,2024-09-14,0.23961234529469758
Evandro Leitão,2024-09-14,0.4280088721845294
José Sarto,2024-09-14,0.1331454421632211
André Fernandes,2024-09-15,0.29214740206842077
Capitão Wagner,2024-09-15,0.14902101901277942
Evandro Leitão,2024-09-15,0.43160727054199216
José Sarto,2024-09-15,0.12722430837680765
André Fernandes,2024-09-16,0.2709538332715947
Capitão Wagner,2024-09-16,0.16496671835870064
Evandro Leitão,2024-09-16,0.4381312002123276
José Sarto,2024-09-16,0.12594824815737707
André Fernandes,2024-09-17,0.20460319941924313
Capitão Wagner,2024-09-17,0.17403671016611388
Evandro Leitão,2024-09-17,0.38949277156581286
José Sarto,2024-09-17,0.23186731884883013
André Fernandes,2024-09-18,0.26556453884771286
Capitão Wagner,2024-09-18,0.1642790618537344
Evandro Leitão,2024-09-18,0.41893905054529157
José Sarto,2024-09-18,0.15121734875326123
André Fernandes,2024-09-19,0.2840469780934447
Capitão Wagner,2024-09-19,0.14615608252564927
Evandro Leitão,2024-09-19,0.39647707627766376
José Sarto,2024-09-19,0.1733198631032423
André Fernandes,2024-09-20,0.2145498261778037
Capitão Wagner,2024-09-20,0.0891148546376986
Evandro Leitão,2024-09-20,0.45318315337074544
José Sarto,2024-09-20,0.24315216581375226
André Fernandes,2024-09-21,0.2674823267509586
Capitão Wagner,2024-09-21,0.1497592663878025
Evandro Leitão,2024-09-21,0.3987398675043405
José Sarto,2024-09-21,0.1840185393568984
André Fernandes,2024-09-22,0.23461725173042622
Capitão Wagner,2024-09-22,0.1568021052439828
Evandro Leitão,2024-09-22,0.4290371507534121
José Sarto,2024-09-22,0.17954349227217892
André Fernandes,2024-09-23,0.29176456922471383
Capitão Wagner,2024-09-23,0.12736775697775024
Evandro Leitão,2024-09-23,0.4047887529986613
José Sarto,2024-09-23,0.17607892079887458
André Fernandes,2024-09-24,0.2655302170590924
Capitão Wagner,2024-09-24,0.16301583512320883
Evandro Leitão,2024-09-24,0.419301733716381
José Sarto,2024-09-24,0.1521522141013178
André Fernandes,2024-09-25,0.31243861619150043
Capitão Wagner,2024-09-25,0.0869311344382634
Evandro Leitão,2024-09-25,0.4185976254173691
José Sarto,2024-09-25,0.1820326239528671
André Fernandes,2024-09-26,0.25300044753455114
Capitão Wagner,2024-09-26,0.15142955301160685
Evandro Leitão,2024-09-26,0.43230185547895583
José Sarto,2024-09-26,0.16326814397488612
André Fernandes,2024-09-27,0.26714456731580827
Capitão Wagner,2024-09-27,0.15954007169304052
Evandro Leitão,2024-09-27,0.40836120513069635
José Sarto,2024-09-27,0.16495415586045484
André Fernandes,2024-09-28,0.2517440518023083
Capitão Wagner,2024-09-28,0.13355857863373238
Evandro Leitão,2024-09-28,0.43977612710917924
José Sarto,2024-09-28,0.17492124245478013
André Fernandes,2024-09-29,0.27602083664830984
Capitão Wagner,2024-09-29,0.10214376459719048
Evandro Leitão,2024-09-29,0.4191079012836453
José Sarto,2024-09-29,0.2027274974708544
André Fernandes,2024-09-30,0.25318547630376337
Capitão Wagner,2024-09-30,0.1616324720045887
Evandro Leitão,2024-09-30,0.43323480399873604
José Sarto,2024-09-30,0.15194724769291185
André Fernandes,2024-10-01,0.24167127443839517
Capitão Wagner,2024-10-01,0.15868213432514974
Evandro Leitão,2024-10-01,0.4531056028035856
José Sarto,2024-10-01,0.1465409884328695
André Fernandes,2024-10-02,0.24873161588352583
Capitão Wagner,2024-10-02,0.1568708963258592
Evandro Leitão,2024-10-02,0.440974845068285
José Sarto,2024-10-02,0.15342264272233005
André Fernandes,2024-10-03,0.2664742356183202
Capitão Wagner,2024-10-03,0.16125961801914618
Evandro Leitão,2024-10-03,0.41822704028457613
José Sarto,2024-10-03,0.1540391060779575
