Candidate,dt,vote_intention
Capitão Wagner,2024-08-03,0.3496028298152955
Evandro Leitão,2024-08-03,0.14009822766961266
José Sarto,2024-08-03,0.18233779521959567
André Fernandes,2024-08-04,0.3385540277645128
Capitão Wagner,2024-08-04,0.36368948007682345
Evandro Leitão,2024-08-04,0.16551128641681295
José Sarto,2024-08-04,0.13224520574185078
André Fernandes,2024-08-05,0.3868097222464617
Capitão Wagner,2024-08-05,0.33402890569004234
Evandro Leitão,2024-08-05,0.17926279954789803
José Sarto,2024-08-05,0.09989857251559792
André Fernandes,2024-08-06,0.3931924987739529
Capitão Wagner,2024-08-06,0.33164713807722046
Evandro Leitão,2024-08-06,0.1945030559378042
José Sarto,2024-08-06,0.08065730721102246
André Fernandes,2024-08-07,0.3357179740946271
Capitão Wagner,2024-08-07,0.3435523327334222
Evandro Leitão,2024-08-07,0.14331144367209198
José Sarto,2024-08-07,0.17741824949985868
André Fernandes,2024-08-08,0.37772364406342207
Capitão Wagner,2024-08-08,0.3057179764329598
Evandro Leitão,2024-08-08,0.19398610926626453
José Sarto,2024-08-08,0.12257227023735355
André Fernandes,2024-08-09,0.35296390066382843
Capitão Wagner,2024-08-09,0.28970927941719193
Evandro Leitão,2024-08-09,0.22539256441887273
José Sarto,2024-08-09,0.1319342555001069
André Fernandes,2024-08-10,0.39751286334107805
Capitão Wagner,2024-08-10,0.18218947888280804
Evandro Leitão,2024-08-10,0.26720190059691395
José Sarto,2024-08-10,0.15309575717919996
André Fernandes,2024-08-11,0.389095037119657
Capitão Wagner,2024-08-11,0.20567414271477885
Evandro Leitão,2024-08-11,0.22759557329967048
José Sarto,2024-08-11,0.17763524686589377
André Fernandes,2024-08-12,0.4215141082093184
Capitão Wagner,2024-08-12,0.19766840763843802
Evandro Leitão,2024-08-12,0.22712545357777386
José Sarto,2024-08-12,0.15369203057446973
André Fernandes,2024-08-13,0.4293603686226179
Capitão Wagner,2024-08-13,0.25411845648278514
Evandro Leitão,2024-08-13,0.17121924381550338
José Sarto,2024-08-13,0.14530193107909362
André Fernandes,2024-08-14,0.41250995819532105
Capitão Wagner,2024-08-14,0.21739345664840132
Evandro Leitão,2024-08-14,0.21941896253428594
José Sarto,2024-08-14,0.1506776226219917
André Fernandes,2024-08-15,0.44535819579027314
Capitão Wagner,2024-08-15,0.1529607469269882
Evandro Leitão,2024-08-15,0.2544990310687693
José Sarto,2024-08-15,0.14718202621396936
André Fernandes,2024-08-16,0.4493891091426863
Capitão Wagner,2024-08-16,0.14751197024298607
Evandro Leitão,2024-08-16,0.2820749582972694
José Sarto,2024-08-16,0.12102396231705821
André Fernandes,2024-08-17,0.42044937486259837
Capitão Wagner,2024-08-17,0.2045498786382745
Evandro Leitão,2024-08-17,0.19986087177185538
José Sarto,2024-08-17,0.17513987472727172
André Fernandes,2024-08-18,0.43788939009327243
Capitão Wagner,2024-08-18,0.2119502031879439
Evandro Leitão,2024-08-18,0.21442166270488858
José Sarto,2024-08-18,0.13573874401389513
André Fernandes,2024-08-19,0.45960480133207665
Capitão Wagner,2024-08-19,0.139677354901071
Evandro Leitão,2024-08-19,0.22979927064600117
José Sarto,2024-08-19,0.1709185731208512
André Fernandes,2024-08-20,0.41125298370198815
Capitão Wagner,2024-08-20,0.1954774018419263
Evandro Leitão,2024-08-20,0.2254842817550189
José Sarto,2024-08-20,0.16778533270106666
André Fernandes,2024-08-21,0.3802732221242482
Capitão Wagner,2024-08-21,0.2506553100815815
Evandro Leitão,2024-08-21,0.22443137934550367
José Sarto,2024-08-21,0.14464008844866663
André Fernandes,2024-08-22,0.386748628114612
Capitão Wagner,2024-08-22,0.2677592425143006
Evandro Leitão,2024-08-22,0.2220707373263023
José Sarto,2024-08-22,0.12342139204478504
André Fernandes,2024-08-23,0.4009064377940731
Capitão Wagner,2024-08-23,0.2424063902334454
Evandro Leitão,2024-08-23,0.2861971868155141
José Sarto,2024-08-23,0.07048998515696744
André Fernandes,2024-08-24,0.4075842392581655
Capitão Wagner,2024-08-24,0.193375798552504
Evandro Leitão,2024-08-24,0.2525388826131777
José Sarto,2024-08-24,0.1465010795761528
André Fernandes,2024-08-25,0.41552926020503395
Capitão Wagner,2024-08-25,0.21379504966010615
Evandro Leitão,2024-08-25,0.22933753384216576
José Sarto,2024-08-25,0.14133815629269414
André Fernandes,2024-08-26,0.38773721344712
Capitão Wagner,2024-08-26,0.2832413111200783
Evandro Leitão,2024-08-26,0.22090838393211704
José Sarto,2024-08-26,0.10811309150068471
André Fernandes,2024-08-27,0.3763701698888242
Capitão Wagner,2024-08-27,0.28636012073038963
Evandro Leitão,2024-08-27,0.23874712074437351
José Sarto,2024-08-27,0.09852258863641264
André Fernandes,2024-08-28,0.4029093265388123
Capitão Wagner,2024-08-28,0.250464326734375
Evandro Leitão,2024-08-28,0.20208900626818077
José Sarto,2024-08-28,0.14453734045863192
André Fernandes,2024-08-29,0.40439334774582447
Capitão Wagner,2024-08-29,0.2509806638478268
Evandro Leitão,2024-08-29,0.18098074804324218
José Sarto,2024-08-29,0.16364524036310663
André Fernandes,2024-08-30,0.4077806783754042
Capitão Wagner,2024-08-30,0.26637060192478346
Evandro Leitão,2024-08-30,0.17639422344056765
José Sarto,2024-08-30,0.14945449625924467
André Fernandes,2024-08-31,0.38968502496738433
Capitão Wagner,2024-08-31,0.27284130088235137
Evandro Leitão,2024-08-31,0.21162000738820447
José Sarto,2024-08-31,0.12585366676205983
André Fernandes,2024-09-01,0.39278199772109923
Capitão Wagner,2024-09-01,0.28334616318418093
Evandro Leitão,2024-09-01,0.20412868685322763
José Sarto,2024-09-01,0.11974315224149223
André Fernandes,2024-09-02,0.4019227748194794
Capitão Wagner,2024-09-02,0.2886527520211445
Evandro Leitão,2024-09-02,0.21370978145701355
José Sarto,2024-09-02,0.09571469170236266
